iso,nodetype,node,curve,year,error
ercot,node,PANDA_T2_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,PEAR_PEARS_3,fmm,2017,Error: Bad frequency in data
ercot,node,QALSW_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,RAYBURN_G1_2,fmm,2017,Error: Bad frequency in data
ercot,node,SPLAIN2_RN,fmm,2017,Error: Bad frequency in data
ercot,node,TGCCS_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,THW_2_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,SRB_SRB_G3,fmm,2017,Error: Bad frequency in data
ercot,node,LGE_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,PB2SES_CT4,fmm,2017,Error: Bad frequency in data
ercot,node,WHCCS_CT1_ST,fmm,2017,Error: Bad frequency in data
ercot,node,BR_VHB6CT7_8,fmm,2017,Error: Bad frequency in data
ercot,node,BULLCRK_1_2,fmm,2017,Error: Bad frequency in data
ercot,node,CBY4_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,CHE_LYD2,fmm,2017,Error: Bad frequency in data
ercot,node,FRNYPP_1_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,LEONLCPCT1_2,fmm,2017,Error: Bad frequency in data
ercot,node,MIL_MILG345,fmm,2017,Error: Bad frequency in data
ercot,node,MNSES_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,RHESS_1,fmm,2017,Error: Bad frequency in data
ercot,node,SWTWN4_WND45,fmm,2017,Error: Bad frequency in data
ercot,node,VERTIGO_UN1,fmm,2017,Error: Bad frequency in data
ercot,node,WAP_WAP_G7,fmm,2017,Error: Bad frequency in data
ercot,node,CAL_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,CEDROHI_CHW1,fmm,2017,Error: Bad frequency in data
ercot,node,CHAMON_UN1,fmm,2017,Error: Bad frequency in data
ercot,node,CTL_GT_102,fmm,2017,Error: Bad frequency in data
ercot,node,CVC_CVC_G3,fmm,2017,Error: Bad frequency in data
ercot,node,DC_L,fmm,2017,Error: Bad frequency in data
ercot,node,DOW_G67,fmm,2017,Error: Bad frequency in data
ercot,node,EXN_8,fmm,2017,Error: Bad frequency in data
ercot,node,FEGC_RN,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_LCRA,fmm,2017,Error: Bad frequency in data
ercot,node,LZ_LCRA,fmm,2019,Error: Bad frequency in data
ercot,node,LZ_LCRA,fmm,2022,Error: Bad frequency in data
ercot,node,NCARBID_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,PANDA_S_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,PC_SOUTH_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,TNSKA_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,PANDA_S_CT1,fmm,2017,Error: Bad frequency in data
